feature_code,date_code,date_start,date_end,measurement,units,value,currently_smokes_cigarettes,type_of_tenure,household_type,gender,limiting_long_term_physical_or_mental_health_condition,age,date_diff,council_area
S12000023,2012,2012,NA,Percent,Percent Of Adults,82.8,No,All,All,All,All,All,NA,Orkney Islands
S12000011,2012,2012,NA,Percent,Percent Of Adults,84.6,No,All,All,All,All,All,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,84.6,No,All,All,All,All,All,NA,East Renfrewshire
S12000026,2012,2012,NA,Percent,Percent Of Adults,76.6,No,All,All,All,All,16-64 years,NA,Scottish Borders
S12000042,2012,2012,NA,Percent,Percent Of Adults,67.6,No,All,All,All,All,16-64 years,NA,Dundee City
S12000042,2012,2012,NA,Percent,Percent Of Adults,67.6,No,All,All,All,All,16-64 years,NA,Dundee City
S12000039,2012,2012,NA,Percent,Percent Of Adults,61.8,No,All,All,All,All,16-64 years,NA,West Dunbartonshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,61.8,No,All,All,All,All,16-64 years,NA,West Dunbartonshire
S12000042,2012,2012,NA,Percent,Percent Of Adults,68.6,No,All,All,All,All,16-34 years,NA,Dundee City
S12000042,2012,2012,NA,Percent,Percent Of Adults,68.6,No,All,All,All,All,16-34 years,NA,Dundee City
S12000035,2012,2012,NA,Percent,Percent Of Adults,61.9,No,All,All,All,All,16-64 years,NA,Argyll and Bute
S12000038,2012,2012,NA,Percent,Percent Of Adults,67.6,No,All,All,All,All,16-64 years,NA,Renfrewshire
S12000038,2012,2012,NA,Percent,Percent Of Adults,67.6,No,All,All,All,All,16-64 years,NA,Renfrewshire
S12000019,2012,2012,NA,Percent,Percent Of Adults,69.3,No,All,All,All,All,16-34 years,NA,Midlothian
S12000048,2012,2012,NA,Percent,Percent Of Adults,79,No,All,All,All,All,All,NA,Perth and Kinross
S12000014,2012,2012,NA,Percent,Percent Of Adults,76.4,No,All,All,All,All,16-64 years,NA,Falkirk
S12000019,2012,2012,NA,Percent,Percent Of Adults,73.6,No,All,All,All,All,16-64 years,NA,Midlothian
S12000013,2012,2012,NA,Percent,Percent Of Adults,75,No,All,All,All,All,16-64 years,NA,Na h-Eileanan Siar
S12000011,2012,2012,NA,Percent,Percent Of Adults,82,No,All,All,All,All,16-64 years,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,82,No,All,All,All,All,16-64 years,NA,East Renfrewshire
S12000041,2012,2012,NA,Percent,Percent Of Adults,75,No,All,All,All,All,16-64 years,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,75,No,All,All,All,All,16-64 years,NA,Angus
S12000027,2012,2012,NA,Percent,Percent Of Adults,77.5,No,All,All,All,All,16-64 years,NA,Shetland Islands
S12000017,2012,2012,NA,Percent,Percent Of Adults,76.7,No,All,All,All,All,16-64 years,NA,Highland
S12000005,2012,2012,NA,Percent,Percent Of Adults,70.7,No,All,All,All,All,16-64 years,NA,Clackmannanshire
S12000050,2012,2012,NA,Percent,Percent Of Adults,69.5,No,All,All,All,All,16-64 years,NA,North Lanarkshire
S12000018,2012,2012,NA,Percent,Percent Of Adults,67.2,No,All,All,All,All,16-64 years,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,67.2,No,All,All,All,All,16-64 years,NA,Inverclyde
S12000045,2012,2012,NA,Percent,Percent Of Adults,86.5,No,All,All,All,All,16-64 years,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,86.5,No,All,All,All,All,16-64 years,NA,East Dunbartonshire
S12000047,2012,2012,NA,Percent,Percent Of Adults,72.7,No,All,All,All,All,16-64 years,NA,Fife
S12000036,2012,2012,NA,Percent,Percent Of Adults,76.4,No,All,All,All,All,16-64 years,NA,City of Edinburgh
S12000008,2012,2012,NA,Percent,Percent Of Adults,70.7,No,All,All,All,All,16-64 years,NA,East Ayrshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,18.8,Yes,All,All,All,All,16-34 years,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,18.8,Yes,All,All,All,All,16-34 years,NA,East Renfrewshire
S12000047,2012,2012,NA,Percent,Percent Of Adults,27.2,Yes,All,All,All,All,16-64 years,NA,Fife
S12000005,2012,2012,NA,Percent,Percent Of Adults,24,Yes,All,All,All,All,16-34 years,NA,Clackmannanshire
S12000047,2012,2012,NA,Percent,Percent Of Adults,76.2,No,All,All,All,All,All,NA,Fife
S12000030,2012,2012,NA,Percent,Percent Of Adults,25.1,Yes,All,All,All,All,16-34 years,NA,Stirling
S12000045,2012,2012,NA,Percent,Percent Of Adults,6.8,Yes,All,All,All,All,16-34 years,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,6.8,Yes,All,All,All,All,16-34 years,NA,East Dunbartonshire
S12000030,2012,2012,NA,Percent,Percent Of Adults,76.9,No,All,All,All,All,16-64 years,NA,Stirling
S12000048,2012,2012,NA,Percent,Percent Of Adults,76.4,No,All,All,All,All,16-64 years,NA,Perth and Kinross
S12000040,2012,2012,NA,Percent,Percent Of Adults,70.5,No,All,All,All,All,16-34 years,NA,West Lothian
S12000034,2012,2012,NA,Percent,Percent Of Adults,64.4,No,All,All,All,All,16-34 years,NA,Aberdeenshire
S12000034,2012,2012,NA,Percent,Percent Of Adults,74.7,No,All,All,All,All,16-64 years,NA,Aberdeenshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,61.4,No,All,All,All,All,16-34 years,NA,West Dunbartonshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,61.4,No,All,All,All,All,16-34 years,NA,West Dunbartonshire
S12000010,2012,2012,NA,Percent,Percent Of Adults,68.7,No,All,All,All,All,16-34 years,NA,East Lothian
S12000020,2012,2012,NA,Percent,Percent Of Adults,77.1,No,All,All,All,All,16-64 years,NA,Moray
S12000033,2012,2012,NA,Percent,Percent Of Adults,75.5,No,All,All,All,All,16-64 years,NA,Aberdeen City
S12000010,2012,2012,NA,Percent,Percent Of Adults,71,No,All,All,All,All,16-64 years,NA,East Lothian
S12000006,2012,2012,NA,Percent,Percent Of Adults,67.1,No,All,All,All,All,16-34 years,NA,Dumfries and Galloway
S12000029,2012,2012,NA,Percent,Percent Of Adults,72.1,No,All,All,All,All,16-64 years,NA,South Lanarkshire
S12000029,2012,2012,NA,Percent,Percent Of Adults,72.1,No,All,All,All,All,16-64 years,NA,South Lanarkshire
S12000021,2012,2012,NA,Percent,Percent Of Adults,68,No,All,All,All,All,16-64 years,NA,North Ayrshire
S12000050,2012,2012,NA,Percent,Percent Of Adults,72.3,No,All,All,All,All,16-34 years,NA,North Lanarkshire
S12000010,2012,2012,NA,Percent,Percent Of Adults,89.9,No,All,All,All,All,65 years and over,NA,East Lothian
S12000041,2012,2012,NA,Percent,Percent Of Adults,81.8,No,All,All,All,All,65 years and over,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,81.8,No,All,All,All,All,65 years and over,NA,Angus
S12000008,2012,2012,NA,Percent,Percent Of Adults,76.3,No,All,All,All,All,65 years and over,NA,East Ayrshire
S12000023,2012,2012,NA,Percent,Percent Of Adults,81.3,No,All,All,All,All,16-64 years,NA,Orkney Islands
S12000045,2012,2012,NA,Percent,Percent Of Adults,92.5,No,All,All,All,All,65 years and over,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,92.5,No,All,All,All,All,65 years and over,NA,East Dunbartonshire
S12000006,2012,2012,NA,Percent,Percent Of Adults,72.2,No,All,All,All,All,16-64 years,NA,Dumfries and Galloway
S12000017,2012,2012,NA,Percent,Percent Of Adults,76.6,No,All,All,All,All,16-34 years,NA,Highland
S12000041,2012,2012,NA,Percent,Percent Of Adults,78.2,No,All,All,All,All,16-34 years,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,78.2,No,All,All,All,All,16-34 years,NA,Angus
S12000030,2012,2012,NA,Percent,Percent Of Adults,74.9,No,All,All,All,All,16-34 years,NA,Stirling
S12000018,2012,2012,NA,Percent,Percent Of Adults,73.5,No,All,All,All,All,16-34 years,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,73.5,No,All,All,All,All,16-34 years,NA,Inverclyde
S12000020,2012,2012,NA,Percent,Percent Of Adults,76.8,No,All,All,All,All,16-34 years,NA,Moray
S12000038,2012,2012,NA,Percent,Percent Of Adults,68,No,All,All,All,All,16-34 years,NA,Renfrewshire
S12000038,2012,2012,NA,Percent,Percent Of Adults,68,No,All,All,All,All,16-34 years,NA,Renfrewshire
S12000049,2012,2012,NA,Percent,Percent Of Adults,77.6,No,All,All,All,All,16-34 years,NA,Glasgow City
S12000035,2012,2012,NA,Percent,Percent Of Adults,56.6,No,All,All,All,All,16-34 years,NA,Argyll and Bute
S12000011,2012,2012,NA,Percent,Percent Of Adults,80.1,No,All,All,All,All,16-34 years,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,80.1,No,All,All,All,All,16-34 years,NA,East Renfrewshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,93.2,No,All,All,All,All,16-34 years,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,93.2,No,All,All,All,All,16-34 years,NA,East Dunbartonshire
S12000008,2012,2012,NA,Percent,Percent Of Adults,67.5,No,All,All,All,All,16-34 years,NA,East Ayrshire
S12000005,2012,2012,NA,Percent,Percent Of Adults,76,No,All,All,All,All,16-34 years,NA,Clackmannanshire
S12000014,2012,2012,NA,Percent,Percent Of Adults,72.7,No,All,All,All,All,16-34 years,NA,Falkirk
S12000040,2012,2012,NA,Percent,Percent Of Adults,73.7,No,All,All,All,All,16-64 years,NA,West Lothian
S12000013,2012,2012,NA,Percent,Percent Of Adults,77,No,All,All,All,All,16-34 years,NA,Na h-Eileanan Siar
S12000013,2012,2012,NA,Percent,Percent Of Adults,74.1,No,All,All,All,All,35-64 years,NA,Na h-Eileanan Siar
S12000026,2012,2012,NA,Percent,Percent Of Adults,73.5,No,All,All,All,All,16-34 years,NA,Scottish Borders
S12000049,2012,2012,NA,Percent,Percent Of Adults,71.8,No,All,All,All,All,16-64 years,NA,Glasgow City
S12000028,2012,2012,NA,Percent,Percent Of Adults,81.1,No,All,All,All,All,16-64 years,NA,South Ayrshire
S12000036,2012,2012,NA,Percent,Percent Of Adults,78.6,No,All,All,All,All,16-34 years,NA,City of Edinburgh
S12000033,2012,2012,NA,Percent,Percent Of Adults,79.2,No,All,All,All,All,16-34 years,NA,Aberdeen City
S12000049,2012,2012,NA,Percent,Percent Of Adults,82.4,No,All,All,All,All,65 years and over,NA,Glasgow City
S12000041,2012,2012,NA,Percent,Percent Of Adults,73.5,No,All,All,All,All,35-64 years,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,73.5,No,All,All,All,All,35-64 years,NA,Angus
S12000048,2012,2012,NA,Percent,Percent Of Adults,73.2,No,All,All,All,All,16-34 years,NA,Perth and Kinross
S12000035,2012,2012,NA,Percent,Percent Of Adults,64.3,No,All,All,All,All,35-64 years,NA,Argyll and Bute
S12000008,2012,2012,NA,Percent,Percent Of Adults,71.9,No,All,All,All,All,All,NA,East Ayrshire
S12000017,2012,2012,NA,Percent,Percent Of Adults,89.4,No,All,All,All,All,65 years and over,NA,Highland
S12000014,2012,2012,NA,Percent,Percent Of Adults,78.8,No,All,All,All,All,All,NA,Falkirk
S12000047,2012,2012,NA,Percent,Percent Of Adults,88.7,No,All,All,All,All,65 years and over,NA,Fife
S12000023,2012,2012,NA,Percent,Percent Of Adults,87.7,No,All,All,All,All,65 years and over,NA,Orkney Islands
S12000039,2012,2012,NA,Percent,Percent Of Adults,83.9,No,All,All,All,All,65 years and over,NA,West Dunbartonshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,83.9,No,All,All,All,All,65 years and over,NA,West Dunbartonshire
S12000006,2012,2012,NA,Percent,Percent Of Adults,87.9,No,All,All,All,All,65 years and over,NA,Dumfries and Galloway
S12000018,2012,2012,NA,Percent,Percent Of Adults,82,No,All,All,All,All,65 years and over,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,82,No,All,All,All,All,65 years and over,NA,Inverclyde
S12000021,2012,2012,NA,Percent,Percent Of Adults,69.7,No,All,All,All,All,35-64 years,NA,North Ayrshire
S12000036,2012,2012,NA,Percent,Percent Of Adults,74.4,No,All,All,All,All,35-64 years,NA,City of Edinburgh
S12000008,2012,2012,NA,Percent,Percent Of Adults,72.4,No,All,All,All,All,35-64 years,NA,East Ayrshire
S12000033,2012,2012,NA,Percent,Percent Of Adults,72.4,No,All,All,All,All,35-64 years,NA,Aberdeen City
S12000023,2012,2012,NA,Percent,Percent Of Adults,83.4,No,All,All,All,All,35-64 years,NA,Orkney Islands
S12000029,2012,2012,NA,Percent,Percent Of Adults,75.4,No,All,All,All,All,35-64 years,NA,South Lanarkshire
S12000029,2012,2012,NA,Percent,Percent Of Adults,75.4,No,All,All,All,All,35-64 years,NA,South Lanarkshire
S12000017,2012,2012,NA,Percent,Percent Of Adults,76.7,No,All,All,All,All,35-64 years,NA,Highland
S12000039,2012,2012,NA,Percent,Percent Of Adults,62,No,All,All,All,All,35-64 years,NA,West Dunbartonshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,62,No,All,All,All,All,35-64 years,NA,West Dunbartonshire
S12000047,2012,2012,NA,Percent,Percent Of Adults,72.8,No,All,All,All,All,35-64 years,NA,Fife
S12000045,2012,2012,NA,Percent,Percent Of Adults,83.2,No,All,All,All,All,35-64 years,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,83.2,No,All,All,All,All,35-64 years,NA,East Dunbartonshire
S12000018,2012,2012,NA,Percent,Percent Of Adults,63.7,No,All,All,All,All,35-64 years,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,63.7,No,All,All,All,All,35-64 years,NA,Inverclyde
S12000028,2012,2012,NA,Percent,Percent Of Adults,82.4,No,All,All,All,All,35-64 years,NA,South Ayrshire
S12000027,2012,2012,NA,Percent,Percent Of Adults,78.3,No,All,All,All,All,35-64 years,NA,Shetland Islands
S12000011,2012,2012,NA,Percent,Percent Of Adults,83,No,All,All,All,All,35-64 years,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,83,No,All,All,All,All,35-64 years,NA,East Renfrewshire
S12000050,2012,2012,NA,Percent,Percent Of Adults,67.9,No,All,All,All,All,35-64 years,NA,North Lanarkshire
S12000026,2012,2012,NA,Percent,Percent Of Adults,77.9,No,All,All,All,All,35-64 years,NA,Scottish Borders
S12000042,2012,2012,NA,Percent,Percent Of Adults,71.3,No,All,All,All,All,All,NA,Dundee City
S12000042,2012,2012,NA,Percent,Percent Of Adults,71.3,No,All,All,All,All,All,NA,Dundee City
S12000035,2012,2012,NA,Percent,Percent Of Adults,67.5,No,All,All,All,All,All,NA,Argyll and Bute
S12000017,2012,2012,NA,Percent,Percent Of Adults,79.6,No,All,All,All,All,All,NA,Highland
S12000036,2012,2012,NA,Percent,Percent Of Adults,78.3,No,All,All,All,All,All,NA,City of Edinburgh
S12000021,2012,2012,NA,Percent,Percent Of Adults,72.1,No,All,All,All,All,All,NA,North Ayrshire
S12000005,2012,2012,NA,Percent,Percent Of Adults,73.9,No,All,All,All,All,All,NA,Clackmannanshire
S12000028,2012,2012,NA,Percent,Percent Of Adults,84.3,No,All,All,All,All,All,NA,South Ayrshire
S12000033,2012,2012,NA,Percent,Percent Of Adults,78.1,No,All,All,All,All,All,NA,Aberdeen City
S12000027,2012,2012,NA,Percent,Percent Of Adults,80.4,No,All,All,All,All,All,NA,Shetland Islands
S12000028,2012,2012,NA,Percent,Percent Of Adults,93.5,No,All,All,All,All,65 years and over,NA,South Ayrshire
S12000021,2012,2012,NA,Percent,Percent Of Adults,64.7,No,All,All,All,All,16-34 years,NA,North Ayrshire
S12000033,2012,2012,NA,Percent,Percent Of Adults,90.6,No,All,All,All,All,65 years and over,NA,Aberdeen City
S12000050,2012,2012,NA,Percent,Percent Of Adults,85.2,No,All,All,All,All,65 years and over,NA,North Lanarkshire
S12000042,2012,2012,NA,Percent,Percent Of Adults,85.2,No,All,All,All,All,65 years and over,NA,Dundee City
S12000042,2012,2012,NA,Percent,Percent Of Adults,85.2,No,All,All,All,All,65 years and over,NA,Dundee City
S12000048,2012,2012,NA,Percent,Percent Of Adults,87.4,No,All,All,All,All,65 years and over,NA,Perth and Kinross
S12000011,2012,2012,NA,Percent,Percent Of Adults,93.5,No,All,All,All,All,65 years and over,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,93.5,No,All,All,All,All,65 years and over,NA,East Renfrewshire
S12000023,2012,2012,NA,Percent,Percent Of Adults,76.5,No,All,All,All,All,16-34 years,NA,Orkney Islands
S12000029,2012,2012,NA,Percent,Percent Of Adults,66.1,No,All,All,All,All,16-34 years,NA,South Lanarkshire
S12000029,2012,2012,NA,Percent,Percent Of Adults,66.1,No,All,All,All,All,16-34 years,NA,South Lanarkshire
S12000029,2012,2012,NA,Percent,Percent Of Adults,75.7,No,All,All,All,All,All,NA,South Lanarkshire
S12000029,2012,2012,NA,Percent,Percent Of Adults,75.7,No,All,All,All,All,All,NA,South Lanarkshire
S12000028,2012,2012,NA,Percent,Percent Of Adults,78.4,No,All,All,All,All,16-34 years,NA,South Ayrshire
S12000047,2012,2012,NA,Percent,Percent Of Adults,72.5,No,All,All,All,All,16-34 years,NA,Fife
S12000017,2012,2012,NA,Percent,Percent Of Adults,23.4,Yes,All,All,All,All,16-34 years,NA,Highland
S12000027,2012,2012,NA,Percent,Percent Of Adults,19.6,Yes,All,All,All,All,All,NA,Shetland Islands
S12000026,2012,2012,NA,Percent,Percent Of Adults,19.9,Yes,All,All,All,All,All,NA,Scottish Borders
S12000033,2012,2012,NA,Percent,Percent Of Adults,21.9,Yes,All,All,All,All,All,NA,Aberdeen City
S12000048,2012,2012,NA,Percent,Percent Of Adults,21,Yes,All,All,All,All,All,NA,Perth and Kinross
S12000047,2012,2012,NA,Percent,Percent Of Adults,27.2,Yes,All,All,All,All,16-34 years,NA,Fife
S12000019,2012,2012,NA,Percent,Percent Of Adults,30.7,Yes,All,All,All,All,16-34 years,NA,Midlothian
S12000036,2012,2012,NA,Percent,Percent Of Adults,87.8,No,All,All,All,All,65 years and over,NA,City of Edinburgh
S12000038,2012,2012,NA,Percent,Percent Of Adults,87.5,No,All,All,All,All,65 years and over,NA,Renfrewshire
S12000038,2012,2012,NA,Percent,Percent Of Adults,87.5,No,All,All,All,All,65 years and over,NA,Renfrewshire
S12000049,2012,2012,NA,Percent,Percent Of Adults,73.5,No,All,All,All,All,All,NA,Glasgow City
S12000030,2012,2012,NA,Percent,Percent Of Adults,86.6,No,All,All,All,All,65 years and over,NA,Stirling
S12000026,2012,2012,NA,Percent,Percent Of Adults,89.8,No,All,All,All,All,65 years and over,NA,Scottish Borders
S12000027,2012,2012,NA,Percent,Percent Of Adults,91.2,No,All,All,All,All,65 years and over,NA,Shetland Islands
S12000034,2012,2012,NA,Percent,Percent Of Adults,84.5,No,All,All,All,All,65 years and over,NA,Aberdeenshire
S12000021,2012,2012,NA,Percent,Percent Of Adults,85.7,No,All,All,All,All,65 years and over,NA,North Ayrshire
S12000035,2012,2012,NA,Percent,Percent Of Adults,83.2,No,All,All,All,All,65 years and over,NA,Argyll and Bute
S12000013,2012,2012,NA,Percent,Percent Of Adults,87.7,No,All,All,All,All,65 years and over,NA,Na h-Eileanan Siar
S12000048,2012,2012,NA,Percent,Percent Of Adults,78.2,No,All,All,All,All,35-64 years,NA,Perth and Kinross
S12000006,2012,2012,NA,Percent,Percent Of Adults,74.4,No,All,All,All,All,35-64 years,NA,Dumfries and Galloway
S12000029,2012,2012,NA,Percent,Percent Of Adults,89.2,No,All,All,All,All,65 years and over,NA,South Lanarkshire
S12000029,2012,2012,NA,Percent,Percent Of Adults,89.2,No,All,All,All,All,65 years and over,NA,South Lanarkshire
S12000038,2012,2012,NA,Percent,Percent Of Adults,67.4,No,All,All,All,All,35-64 years,NA,Renfrewshire
S12000038,2012,2012,NA,Percent,Percent Of Adults,67.4,No,All,All,All,All,35-64 years,NA,Renfrewshire
S12000020,2012,2012,NA,Percent,Percent Of Adults,77.3,No,All,All,All,All,35-64 years,NA,Moray
S12000014,2012,2012,NA,Percent,Percent Of Adults,78.4,No,All,All,All,All,35-64 years,NA,Falkirk
S12000040,2012,2012,NA,Percent,Percent Of Adults,85.6,No,All,All,All,All,65 years and over,NA,West Lothian
S12000049,2012,2012,NA,Percent,Percent Of Adults,66.7,No,All,All,All,All,35-64 years,NA,Glasgow City
S12000040,2012,2012,NA,Percent,Percent Of Adults,75.4,No,All,All,All,All,35-64 years,NA,West Lothian
S12000042,2012,2012,NA,Percent,Percent Of Adults,66.7,No,All,All,All,All,35-64 years,NA,Dundee City
S12000042,2012,2012,NA,Percent,Percent Of Adults,66.7,No,All,All,All,All,35-64 years,NA,Dundee City
S12000019,2012,2012,NA,Percent,Percent Of Adults,75.8,No,All,All,All,All,35-64 years,NA,Midlothian
S12000034,2012,2012,NA,Percent,Percent Of Adults,79.4,No,All,All,All,All,35-64 years,NA,Aberdeenshire
S12000030,2012,2012,NA,Percent,Percent Of Adults,78.1,No,All,All,All,All,35-64 years,NA,Stirling
S12000005,2012,2012,NA,Percent,Percent Of Adults,68,No,All,All,All,All,35-64 years,NA,Clackmannanshire
S12000010,2012,2012,NA,Percent,Percent Of Adults,72.1,No,All,All,All,All,35-64 years,NA,East Lothian
S12000049,2012,2012,NA,Percent,Percent Of Adults,27.9,Yes,All,All,All,All,16-64 years,NA,Glasgow City
S12000048,2012,2012,NA,Percent,Percent Of Adults,23.6,Yes,All,All,All,All,16-64 years,NA,Perth and Kinross
S12000018,2012,2012,NA,Percent,Percent Of Adults,18,Yes,All,All,All,All,65 years and over,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,18,Yes,All,All,All,All,65 years and over,NA,Inverclyde
S12000023,2012,2012,NA,Percent,Percent Of Adults,11.8,Yes,All,All,All,All,65 years and over,NA,Orkney Islands
S12000020,2012,2012,NA,Percent,Percent Of Adults,22.9,Yes,All,All,All,All,16-64 years,NA,Moray
S12000018,2012,2012,NA,Percent,Percent Of Adults,32.9,Yes,All,All,All,All,16-64 years,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,32.9,Yes,All,All,All,All,16-64 years,NA,Inverclyde
S12000041,2012,2012,NA,Percent,Percent Of Adults,25,Yes,All,All,All,All,16-64 years,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,25,Yes,All,All,All,All,16-64 years,NA,Angus
S12000050,2012,2012,NA,Percent,Percent Of Adults,30.1,Yes,All,All,All,All,16-64 years,NA,North Lanarkshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,37.8,Yes,All,All,All,All,16-64 years,NA,West Dunbartonshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,37.8,Yes,All,All,All,All,16-64 years,NA,West Dunbartonshire
S12000047,2012,2012,NA,Percent,Percent Of Adults,27.2,Yes,All,All,All,All,35-64 years,NA,Fife
S12000017,2012,2012,NA,Percent,Percent Of Adults,10.7,Yes,All,All,All,All,65 years and over,NA,Highland
S12000048,2012,2012,NA,Percent,Percent Of Adults,21.8,Yes,All,All,All,All,35-64 years,NA,Perth and Kinross
S12000034,2012,2012,NA,Percent,Percent Of Adults,20.6,Yes,All,All,All,All,35-64 years,NA,Aberdeenshire
S12000010,2012,2012,NA,Percent,Percent Of Adults,27.9,Yes,All,All,All,All,35-64 years,NA,East Lothian
S12000011,2012,2012,NA,Percent,Percent Of Adults,17,Yes,All,All,All,All,35-64 years,NA,East Renfrewshire
S12000011,2012,2012,NA,Percent,Percent Of Adults,17,Yes,All,All,All,All,35-64 years,NA,East Renfrewshire
