feature_code,date_code,measurement,units,value,sex,age,simd_quintiles,urban_rural_classification
S92000003,2007-2009,95% Lower Confidence Limit,Years,78.5,Female,0 years,2,All
S12000005,2007-2009,95% Upper Confidence Limit,Years,81.69,Female,0 years,All,All
S12000005,2007-2009,Count,Years,80.82,Female,0 years,All,All
S12000005,2007-2009,95% Lower Confidence Limit,Years,73.99,Male,0 years,All,All
S12000005,2007-2009,95% Lower Confidence Limit,Years,79.95,Female,0 years,All,All
S12000005,2007-2009,Count,Years,74.97,Male,0 years,All,All
S12000005,2007-2009,95% Upper Confidence Limit,Years,75.95,Male,0 years,All,All
S12000006,2007-2009,Count,Years,80.53,Female,0 years,All,All
S12000006,2007-2009,95% Upper Confidence Limit,Years,81.06,Female,0 years,All,All
S12000006,2007-2009,95% Lower Confidence Limit,Years,80,Female,0 years,All,All
S12000006,2007-2009,95% Lower Confidence Limit,Years,76.2,Male,0 years,All,All
S12000006,2007-2009,95% Upper Confidence Limit,Years,77.39,Male,0 years,All,All
S12000006,2007-2009,Count,Years,76.79,Male,0 years,All,All
S12000008,2007-2009,95% Upper Confidence Limit,Years,79.21,Female,0 years,All,All
S12000008,2007-2009,Count,Years,78.59,Female,0 years,All,All
S12000008,2007-2009,Count,Years,74.59,Male,0 years,All,All
S12000008,2007-2009,95% Lower Confidence Limit,Years,73.93,Male,0 years,All,All
S12000008,2007-2009,95% Lower Confidence Limit,Years,77.96,Female,0 years,All,All
S12000008,2007-2009,95% Upper Confidence Limit,Years,75.24,Male,0 years,All,All
S12000010,2007-2009,95% Lower Confidence Limit,Years,80.48,Female,0 years,All,All
S12000010,2007-2009,Count,Years,76.75,Male,0 years,All,All
S12000010,2007-2009,95% Upper Confidence Limit,Years,77.47,Male,0 years,All,All
S12000010,2007-2009,95% Upper Confidence Limit,Years,81.74,Female,0 years,All,All
S12000010,2007-2009,95% Lower Confidence Limit,Years,76.02,Male,0 years,All,All
S12000010,2007-2009,Count,Years,81.11,Female,0 years,All,All
S12000011,2007-2009,Count,Years,81.83,Female,0 years,All,All
S12000011,2007-2009,95% Lower Confidence Limit,Years,81.11,Female,0 years,All,All
S12000011,2007-2009,95% Lower Confidence Limit,Years,77.11,Male,0 years,All,All
S12000011,2007-2009,95% Upper Confidence Limit,Years,82.55,Female,0 years,All,All
S12000011,2007-2009,Count,Years,77.88,Male,0 years,All,All
S12000011,2007-2009,95% Upper Confidence Limit,Years,78.65,Male,0 years,All,All
S12000013,2007-2009,95% Lower Confidence Limit,Years,80.96,Female,0 years,All,All
S12000013,2007-2009,95% Upper Confidence Limit,Years,83.24,Female,0 years,All,All
S12000013,2007-2009,95% Upper Confidence Limit,Years,75.29,Male,0 years,All,All
S12000013,2007-2009,95% Lower Confidence Limit,Years,72.47,Male,0 years,All,All
S12000013,2007-2009,Count,Years,82.1,Female,0 years,All,All
S12000013,2007-2009,Count,Years,73.88,Male,0 years,All,All
S12000014,2007-2009,95% Upper Confidence Limit,Years,76.55,Male,0 years,All,All
S12000014,2007-2009,Count,Years,79.66,Female,0 years,All,All
S12000014,2007-2009,95% Lower Confidence Limit,Years,79.18,Female,0 years,All,All
S12000014,2007-2009,Count,Years,75.99,Male,0 years,All,All
S12000014,2007-2009,95% Lower Confidence Limit,Years,75.44,Male,0 years,All,All
S12000014,2007-2009,95% Upper Confidence Limit,Years,80.14,Female,0 years,All,All
S12000017,2007-2009,Count,Years,81.16,Female,0 years,All,All
S12000017,2007-2009,95% Upper Confidence Limit,Years,76.85,Male,0 years,All,All
S12000017,2007-2009,95% Upper Confidence Limit,Years,81.59,Female,0 years,All,All
S12000017,2007-2009,95% Lower Confidence Limit,Years,80.74,Female,0 years,All,All
S12000017,2007-2009,95% Lower Confidence Limit,Years,75.87,Male,0 years,All,All
S12000017,2007-2009,Count,Years,76.36,Male,0 years,All,All
S12000018,2007-2009,95% Lower Confidence Limit,Years,78.12,Female,0 years,All,All
S12000018,2007-2009,95% Lower Confidence Limit,Years,72.48,Male,0 years,All,All
S12000018,2007-2009,Count,Years,73.31,Male,0 years,All,All
S12000018,2007-2009,95% Upper Confidence Limit,Years,79.74,Female,0 years,All,All
S12000018,2007-2009,Count,Years,78.93,Female,0 years,All,All
S12000018,2007-2009,95% Upper Confidence Limit,Years,74.14,Male,0 years,All,All
S12000019,2007-2009,95% Upper Confidence Limit,Years,81.84,Female,0 years,All,All
S12000019,2007-2009,95% Lower Confidence Limit,Years,75.87,Male,0 years,All,All
S12000019,2007-2009,Count,Years,76.61,Male,0 years,All,All
S12000019,2007-2009,95% Upper Confidence Limit,Years,77.35,Male,0 years,All,All
S12000019,2007-2009,Count,Years,81.22,Female,0 years,All,All
S12000019,2007-2009,95% Lower Confidence Limit,Years,80.59,Female,0 years,All,All
S12000020,2007-2009,95% Upper Confidence Limit,Years,77.58,Male,0 years,All,All
S12000020,2007-2009,95% Lower Confidence Limit,Years,76.12,Male,0 years,All,All
S12000020,2007-2009,95% Upper Confidence Limit,Years,81.84,Female,0 years,All,All
S12000020,2007-2009,Count,Years,76.85,Male,0 years,All,All
S12000020,2007-2009,95% Lower Confidence Limit,Years,80.48,Female,0 years,All,All
S12000020,2007-2009,Count,Years,81.16,Female,0 years,All,All
S12000021,2007-2009,95% Upper Confidence Limit,Years,74.76,Male,0 years,All,All
S12000021,2007-2009,95% Lower Confidence Limit,Years,73.48,Male,0 years,All,All
S12000021,2007-2009,95% Lower Confidence Limit,Years,78.63,Female,0 years,All,All
S12000021,2007-2009,95% Upper Confidence Limit,Years,79.74,Female,0 years,All,All
S12000021,2007-2009,Count,Years,74.12,Male,0 years,All,All
S12000021,2007-2009,Count,Years,79.18,Female,0 years,All,All
S12000023,2007-2009,95% Upper Confidence Limit,Years,83.11,Female,0 years,All,All
S12000023,2007-2009,95% Lower Confidence Limit,Years,80.68,Female,0 years,All,All
S12000023,2007-2009,Count,Years,76,Male,0 years,All,All
S12000023,2007-2009,Count,Years,81.9,Female,0 years,All,All
S12000023,2007-2009,95% Upper Confidence Limit,Years,77.61,Male,0 years,All,All
S12000023,2007-2009,95% Lower Confidence Limit,Years,74.38,Male,0 years,All,All
S12000026,2007-2009,Count,Years,81.33,Female,0 years,All,All
S12000026,2007-2009,Count,Years,77.24,Male,0 years,All,All
S12000026,2007-2009,95% Lower Confidence Limit,Years,76.56,Male,0 years,All,All
S12000026,2007-2009,95% Upper Confidence Limit,Years,77.93,Male,0 years,All,All
S12000026,2007-2009,95% Lower Confidence Limit,Years,80.74,Female,0 years,All,All
S12000026,2007-2009,95% Upper Confidence Limit,Years,81.93,Female,0 years,All,All
S12000027,2007-2009,95% Upper Confidence Limit,Years,83.37,Female,0 years,All,All
S12000027,2007-2009,95% Upper Confidence Limit,Years,77.65,Male,0 years,All,All
S12000027,2007-2009,95% Lower Confidence Limit,Years,80.12,Female,0 years,All,All
S12000027,2007-2009,95% Lower Confidence Limit,Years,74.26,Male,0 years,All,All
S12000027,2007-2009,Count,Years,75.96,Male,0 years,All,All
S12000027,2007-2009,Count,Years,81.74,Female,0 years,All,All
S12000028,2007-2009,95% Upper Confidence Limit,Years,76.45,Male,0 years,All,All
S12000028,2007-2009,Count,Years,75.71,Male,0 years,All,All
S12000028,2007-2009,95% Lower Confidence Limit,Years,74.98,Male,0 years,All,All
S12000028,2007-2009,95% Upper Confidence Limit,Years,81.39,Female,0 years,All,All
S12000028,2007-2009,Count,Years,80.8,Female,0 years,All,All
S12000028,2007-2009,95% Lower Confidence Limit,Years,80.21,Female,0 years,All,All
S12000029,2007-2009,95% Upper Confidence Limit,Years,75.23,Male,0 years,All,All
S12000029,2007-2009,95% Lower Confidence Limit,Years,79.46,Female,0 years,All,All
S12000029,2007-2009,95% Lower Confidence Limit,Years,74.44,Male,0 years,All,All
S12000029,2007-2009,Count,Years,79.81,Female,0 years,All,All
S12000029,2007-2009,95% Upper Confidence Limit,Years,80.16,Female,0 years,All,All
S12000029,2007-2009,Count,Years,74.83,Male,0 years,All,All
S12000030,2007-2009,95% Upper Confidence Limit,Years,78.13,Male,0 years,All,All
S12000030,2007-2009,95% Upper Confidence Limit,Years,82.26,Female,0 years,All,All
S12000030,2007-2009,Count,Years,77.35,Male,0 years,All,All
S12000030,2007-2009,Count,Years,81.61,Female,0 years,All,All
S12000030,2007-2009,95% Lower Confidence Limit,Years,80.96,Female,0 years,All,All
S12000030,2007-2009,95% Lower Confidence Limit,Years,76.57,Male,0 years,All,All
S12000033,2007-2009,Count,Years,80.55,Female,0 years,All,All
S12000033,2007-2009,95% Lower Confidence Limit,Years,80.12,Female,0 years,All,All
S12000033,2007-2009,95% Upper Confidence Limit,Years,76.07,Male,0 years,All,All
S12000033,2007-2009,Count,Years,75.6,Male,0 years,All,All
S12000033,2007-2009,95% Lower Confidence Limit,Years,75.13,Male,0 years,All,All
S12000033,2007-2009,95% Upper Confidence Limit,Years,80.97,Female,0 years,All,All
S12000034,2007-2009,Count,Years,77.91,Male,0 years,All,All
S12000034,2007-2009,95% Upper Confidence Limit,Years,81.74,Female,0 years,All,All
S12000034,2007-2009,95% Lower Confidence Limit,Years,80.92,Female,0 years,All,All
S12000034,2007-2009,Count,Years,81.33,Female,0 years,All,All
S12000034,2007-2009,95% Upper Confidence Limit,Years,78.35,Male,0 years,All,All
S12000034,2007-2009,95% Lower Confidence Limit,Years,77.46,Male,0 years,All,All
S12000035,2007-2009,Count,Years,80.29,Female,0 years,All,All
S12000035,2007-2009,95% Lower Confidence Limit,Years,79.59,Female,0 years,All,All
S12000035,2007-2009,95% Lower Confidence Limit,Years,75.52,Male,0 years,All,All
S12000035,2007-2009,Count,Years,76.27,Male,0 years,All,All
S12000035,2007-2009,95% Upper Confidence Limit,Years,80.99,Female,0 years,All,All
S12000035,2007-2009,95% Upper Confidence Limit,Years,77.02,Male,0 years,All,All
S12000036,2007-2009,95% Upper Confidence Limit,Years,81.37,Female,0 years,All,All
S12000036,2007-2009,95% Lower Confidence Limit,Years,80.75,Female,0 years,All,All
S12000036,2007-2009,95% Lower Confidence Limit,Years,76.15,Male,0 years,All,All
S12000036,2007-2009,95% Upper Confidence Limit,Years,76.83,Male,0 years,All,All
S12000036,2007-2009,Count,Years,76.49,Male,0 years,All,All
S12000036,2007-2009,Count,Years,81.06,Female,0 years,All,All
S12000038,2007-2009,95% Upper Confidence Limit,Years,79.79,Female,0 years,All,All
S12000038,2007-2009,95% Upper Confidence Limit,Years,74.34,Male,0 years,All,All
S12000038,2007-2009,Count,Years,79.32,Female,0 years,All,All
S12000038,2007-2009,95% Lower Confidence Limit,Years,73.19,Male,0 years,All,All
S12000038,2007-2009,95% Lower Confidence Limit,Years,78.85,Female,0 years,All,All
S12000038,2007-2009,Count,Years,73.77,Male,0 years,All,All
S12000041,2007-2009,95% Upper Confidence Limit,Years,81.48,Female,0 years,All,All
S12000041,2007-2009,Count,Years,76.98,Male,0 years,All,All
S12000041,2007-2009,95% Lower Confidence Limit,Years,76.25,Male,0 years,All,All
S12000041,2007-2009,Count,Years,80.87,Female,0 years,All,All
S12000041,2007-2009,95% Upper Confidence Limit,Years,77.71,Male,0 years,All,All
S12000041,2007-2009,95% Lower Confidence Limit,Years,80.27,Female,0 years,All,All
S12000042,2007-2009,95% Lower Confidence Limit,Years,72.85,Male,0 years,All,All
S12000042,2007-2009,Count,Years,79.04,Female,0 years,All,All
S12000042,2007-2009,95% Upper Confidence Limit,Years,74.15,Male,0 years,All,All
S12000042,2007-2009,95% Lower Confidence Limit,Years,78.46,Female,0 years,All,All
S12000042,2007-2009,Count,Years,73.5,Male,0 years,All,All
S12000042,2007-2009,95% Upper Confidence Limit,Years,79.62,Female,0 years,All,All
S12000045,2007-2009,Count,Years,82.62,Female,0 years,All,All
S12000045,2007-2009,Count,Years,78.25,Male,0 years,All,All
S12000045,2007-2009,95% Lower Confidence Limit,Years,82.02,Female,0 years,All,All
S12000045,2007-2009,95% Lower Confidence Limit,Years,77.54,Male,0 years,All,All
S12000045,2007-2009,95% Upper Confidence Limit,Years,78.95,Male,0 years,All,All
S12000045,2007-2009,95% Upper Confidence Limit,Years,83.23,Female,0 years,All,All
S08000015,2007-2009,95% Upper Confidence Limit,Years,79.83,Female,0 years,All,All
S08000015,2007-2009,Count,Years,74.77,Male,0 years,All,All
S08000015,2007-2009,95% Lower Confidence Limit,Years,79.15,Female,0 years,All,All
S08000015,2007-2009,95% Lower Confidence Limit,Years,74.38,Male,0 years,All,All
S08000015,2007-2009,95% Upper Confidence Limit,Years,75.16,Male,0 years,All,All
S08000015,2007-2009,Count,Years,79.49,Female,0 years,All,All
S08000016,2007-2009,Count,Years,77.24,Male,0 years,All,All
S08000016,2007-2009,95% Upper Confidence Limit,Years,81.93,Female,0 years,All,All
S08000016,2007-2009,Count,Years,81.33,Female,0 years,All,All
S08000016,2007-2009,95% Lower Confidence Limit,Years,80.74,Female,0 years,All,All
S08000016,2007-2009,95% Lower Confidence Limit,Years,76.56,Male,0 years,All,All
S08000016,2007-2009,95% Upper Confidence Limit,Years,77.93,Male,0 years,All,All
S08000017,2007-2009,95% Lower Confidence Limit,Years,80,Female,0 years,All,All
S08000017,2007-2009,Count,Years,76.79,Male,0 years,All,All
S08000017,2007-2009,95% Lower Confidence Limit,Years,76.2,Male,0 years,All,All
S08000017,2007-2009,Count,Years,80.53,Female,0 years,All,All
S08000017,2007-2009,95% Upper Confidence Limit,Years,81.06,Female,0 years,All,All
S08000017,2007-2009,95% Upper Confidence Limit,Years,77.39,Male,0 years,All,All
S08000019,2007-2009,Count,Years,76.2,Male,0 years,All,All
S08000019,2007-2009,95% Upper Confidence Limit,Years,76.61,Male,0 years,All,All
S08000019,2007-2009,95% Lower Confidence Limit,Years,75.79,Male,0 years,All,All
S08000019,2007-2009,Count,Years,80.43,Female,0 years,All,All
S08000019,2007-2009,95% Upper Confidence Limit,Years,80.78,Female,0 years,All,All
S08000019,2007-2009,95% Lower Confidence Limit,Years,80.07,Female,0 years,All,All
S08000020,2007-2009,95% Upper Confidence Limit,Years,77.17,Male,0 years,All,All
S08000020,2007-2009,95% Lower Confidence Limit,Years,80.78,Female,0 years,All,All
S08000020,2007-2009,Count,Years,76.88,Male,0 years,All,All
S08000020,2007-2009,95% Upper Confidence Limit,Years,81.31,Female,0 years,All,All
S08000020,2007-2009,Count,Years,81.05,Female,0 years,All,All
S08000020,2007-2009,95% Lower Confidence Limit,Years,76.59,Male,0 years,All,All
S08000022,2007-2009,95% Lower Confidence Limit,Years,75.91,Male,0 years,All,All
S08000022,2007-2009,95% Upper Confidence Limit,Years,81.26,Female,0 years,All,All
S08000022,2007-2009,Count,Years,76.32,Male,0 years,All,All
S08000022,2007-2009,Count,Years,80.9,Female,0 years,All,All
S08000022,2007-2009,95% Lower Confidence Limit,Years,80.54,Female,0 years,All,All
S08000022,2007-2009,95% Upper Confidence Limit,Years,76.73,Male,0 years,All,All
S08000024,2007-2009,Count,Years,76.49,Male,0 years,All,All
S08000024,2007-2009,Count,Years,80.81,Female,0 years,All,All
S08000024,2007-2009,95% Upper Confidence Limit,Years,81.04,Female,0 years,All,All
S08000024,2007-2009,95% Lower Confidence Limit,Years,80.58,Female,0 years,All,All
S08000024,2007-2009,95% Lower Confidence Limit,Years,76.24,Male,0 years,All,All
S08000024,2007-2009,95% Upper Confidence Limit,Years,76.74,Male,0 years,All,All
S08000025,2007-2009,Count,Years,81.9,Female,0 years,All,All
S08000025,2007-2009,95% Lower Confidence Limit,Years,74.38,Male,0 years,All,All
S08000025,2007-2009,Count,Years,76,Male,0 years,All,All
S08000025,2007-2009,95% Lower Confidence Limit,Years,80.68,Female,0 years,All,All
S08000025,2007-2009,95% Upper Confidence Limit,Years,77.61,Male,0 years,All,All
S08000025,2007-2009,95% Upper Confidence Limit,Years,83.11,Female,0 years,All,All
S08000026,2007-2009,95% Upper Confidence Limit,Years,83.37,Female,0 years,All,All
S08000026,2007-2009,95% Lower Confidence Limit,Years,74.26,Male,0 years,All,All
S08000026,2007-2009,95% Upper Confidence Limit,Years,77.65,Male,0 years,All,All
S08000026,2007-2009,Count,Years,75.96,Male,0 years,All,All
S08000026,2007-2009,Count,Years,81.74,Female,0 years,All,All
S08000026,2007-2009,95% Lower Confidence Limit,Years,80.12,Female,0 years,All,All
S08000028,2007-2009,95% Lower Confidence Limit,Years,72.47,Male,0 years,All,All
S08000028,2007-2009,Count,Years,73.88,Male,0 years,All,All
S08000028,2007-2009,Count,Years,82.1,Female,0 years,All,All
S08000028,2007-2009,95% Lower Confidence Limit,Years,80.96,Female,0 years,All,All
S08000028,2007-2009,95% Upper Confidence Limit,Years,75.29,Male,0 years,All,All
S08000028,2007-2009,95% Upper Confidence Limit,Years,83.24,Female,0 years,All,All
S12000047,2007-2009,95% Lower Confidence Limit,Years,79.65,Female,0 years,All,All
S12000047,2007-2009,Count,Years,80,Female,0 years,All,All
S12000047,2007-2009,95% Upper Confidence Limit,Years,76.44,Male,0 years,All,All
S12000047,2007-2009,95% Lower Confidence Limit,Years,75.69,Male,0 years,All,All
S12000047,2007-2009,95% Upper Confidence Limit,Years,80.35,Female,0 years,All,All
S12000047,2007-2009,Count,Years,76.06,Male,0 years,All,All
S12000048,2007-2009,95% Lower Confidence Limit,Years,77.4,Male,0 years,All,All
S12000048,2007-2009,95% Upper Confidence Limit,Years,82.12,Female,0 years,All,All
S12000048,2007-2009,Count,Years,77.98,Male,0 years,All,All
S12000048,2007-2009,Count,Years,81.59,Female,0 years,All,All
S12000048,2007-2009,95% Lower Confidence Limit,Years,81.06,Female,0 years,All,All
S12000048,2007-2009,95% Upper Confidence Limit,Years,78.56,Male,0 years,All,All
S08000029,2007-2009,Count,Years,76.06,Male,0 years,All,All
S08000029,2007-2009,Count,Years,80,Female,0 years,All,All
S08000029,2007-2009,95% Lower Confidence Limit,Years,75.69,Male,0 years,All,All
S08000029,2007-2009,95% Upper Confidence Limit,Years,80.35,Female,0 years,All,All
S08000029,2007-2009,95% Upper Confidence Limit,Years,76.44,Male,0 years,All,All
S08000029,2007-2009,95% Lower Confidence Limit,Years,79.65,Female,0 years,All,All
S08000030,2007-2009,95% Lower Confidence Limit,Years,80.19,Female,0 years,All,All
S08000030,2007-2009,95% Upper Confidence Limit,Years,76.53,Male,0 years,All,All
S08000030,2007-2009,Count,Years,76.16,Male,0 years,All,All
S08000030,2007-2009,95% Upper Confidence Limit,Years,80.85,Female,0 years,All,All
S08000030,2007-2009,95% Lower Confidence Limit,Years,75.78,Male,0 years,All,All
S08000030,2007-2009,Count,Years,80.52,Female,0 years,All,All
S08000031,2007-2009,95% Lower Confidence Limit,Years,77.88,Female,0 years,All,All
S08000031,2007-2009,Count,Years,72.3,Male,0 years,All,All
S08000031,2007-2009,95% Lower Confidence Limit,Years,72.08,Male,0 years,All,All
S08000031,2007-2009,95% Upper Confidence Limit,Years,78.28,Female,0 years,All,All
S08000031,2007-2009,Count,Years,78.08,Female,0 years,All,All
S08000031,2007-2009,95% Upper Confidence Limit,Years,72.52,Male,0 years,All,All
S08000032,2007-2009,Count,Years,80.41,Female,0 years,All,All
S08000032,2007-2009,95% Lower Confidence Limit,Years,80.16,Female,0 years,All,All
S08000032,2007-2009,95% Upper Confidence Limit,Years,80.66,Female,0 years,All,All
S08000032,2007-2009,95% Lower Confidence Limit,Years,75.55,Male,0 years,All,All
S08000032,2007-2009,Count,Years,75.83,Male,0 years,All,All
S08000032,2007-2009,95% Upper Confidence Limit,Years,76.11,Male,0 years,All,All
S12000049,2007-2009,Count,Years,77.37,Female,0 years,All,All
S12000049,2007-2009,95% Lower Confidence Limit,Years,70.83,Male,0 years,All,All
S12000049,2007-2009,95% Lower Confidence Limit,Years,77.08,Female,0 years,All,All
S12000049,2007-2009,Count,Years,71.13,Male,0 years,All,All
S12000049,2007-2009,95% Upper Confidence Limit,Years,71.43,Male,0 years,All,All
S12000049,2007-2009,95% Upper Confidence Limit,Years,77.65,Female,0 years,All,All
S12000050,2007-2009,Count,Years,78.49,Female,0 years,All,All
S12000050,2007-2009,95% Lower Confidence Limit,Years,73.5,Male,0 years,All,All
S12000050,2007-2009,95% Upper Confidence Limit,Years,74.27,Male,0 years,All,All
S12000050,2007-2009,Count,Years,73.88,Male,0 years,All,All
S12000050,2007-2009,95% Upper Confidence Limit,Years,78.84,Female,0 years,All,All
S12000050,2007-2009,95% Lower Confidence Limit,Years,78.15,Female,0 years,All,All
S12000039,2008-2010,95% Upper Confidence Limit,Years,74.44,Male,0 years,All,All
S12000039,2008-2010,95% Upper Confidence Limit,Years,78.92,Female,0 years,All,All
S12000039,2008-2010,95% Lower Confidence Limit,Years,77.52,Female,0 years,All,All
S12000039,2008-2010,95% Lower Confidence Limit,Years,72.93,Male,0 years,All,All
S12000039,2008-2010,Count,Years,73.69,Male,0 years,All,All
S12000039,2008-2010,Count,Years,78.22,Female,0 years,All,All
S12000040,2008-2010,95% Lower Confidence Limit,Years,79.26,Female,0 years,All,All
S12000040,2008-2010,95% Upper Confidence Limit,Years,80.24,Female,0 years,All,All
S12000040,2008-2010,Count,Years,79.75,Female,0 years,All,All
S12000040,2008-2010,95% Lower Confidence Limit,Years,75.65,Male,0 years,All,All
S12000040,2008-2010,95% Upper Confidence Limit,Years,76.69,Male,0 years,All,All
S12000040,2008-2010,Count,Years,76.17,Male,0 years,All,All
S92000003,2008-2010,Count,Years,78.53,Male,0 years,4,All
S92000003,2008-2010,Count,Years,70.26,Male,0 years,1 - most deprived,All
S92000003,2008-2010,Count,Years,80.28,Female,0 years,All,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,78.74,Male,0 years,4,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,70.03,Male,0 years,1 - most deprived,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,78.33,Male,0 years,4,All
S92000003,2008-2010,Count,Years,76.23,Male,0 years,3,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,70.49,Male,0 years,1 - most deprived,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,75.9,Male,0 years,All,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,75.7,Male,0 years,All,All
S92000003,2008-2010,Count,Years,75.8,Male,0 years,All,All
S92000003,2008-2010,Count,Years,80.56,Male,0 years,5 - least deprived,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,74.1,Male,0 years,2,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,73.66,Male,0 years,2,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,80.76,Male,0 years,5 - least deprived,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,80.35,Male,0 years,5 - least deprived,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,80.62,Female,0 years,3,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,80.23,Female,0 years,3,All
S92000003,2008-2010,Count,Years,76.51,Female,0 years,1 - most deprived,All
S92000003,2008-2010,Count,Years,83.83,Female,0 years,5 - least deprived,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,83.64,Female,0 years,5 - least deprived,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,81.8,Female,0 years,4,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,84.02,Female,0 years,5 - least deprived,All
S92000003,2008-2010,Count,Years,81.99,Female,0 years,4,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,76.73,Female,0 years,1 - most deprived,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,76.3,Female,0 years,1 - most deprived,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,79.17,Female,0 years,2,All
S92000003,2008-2010,Count,Years,80.42,Female,0 years,3,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,80.37,Female,0 years,All,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,78.76,Female,0 years,2,All
S92000003,2008-2010,95% Upper Confidence Limit,Years,76.45,Male,0 years,3,All
S92000003,2008-2010,95% Lower Confidence Limit,Years,76.01,Male,0 years,3,All
