FeatureCode,DateCode,Measurement,Units,Value,Currently Smokes Cigarettes,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Age
S12000017,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.6,No,All,Adults,All,All,All
S12000035,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,79.7,No,All,All,All,All,All
S08000026,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.8,No,All,Adults,All,All,All
S13002622,2012-2015,Percent,Percent Of Adults,75.5,No,All,All,All,All,All
S13002677,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.6,No,All,All,All,All,All
S12000013,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.2,No,All,Adults,All,All,All
S12000019,2015,Percent,Percent Of Adults,81.5,No,All,Pensioners,All,All,All
S13002649,2012-2015,Percent,Percent Of Adults,67.2,No,All,All,All,All,All
S12000039,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.7,No,All,Adults,All,All,All
S08000028,2015,Percent,Percent Of Adults,77.1,No,All,Adults,All,All,All
S12000034,2015,Percent,Percent Of Adults,77.5,No,All,Adults,All,All,All
S13002509,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83,No,All,All,All,All,All
S12000005,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.2,No,All,All,All,All,All
S12000011,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,80,No,All,All,All,All,All
S13002670,2012-2015,Percent,Percent Of Adults,78.8,No,All,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.8,No,All,Adults,All,All,All
S12000042,2017,Percent,Percent Of Adults,74.3,No,All,Adults,All,All,All
S13002676,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.6,No,All,All,All,All,All
S08000026,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.8,No,All,Adults,All,All,All
S08000032,2015,Percent,Percent Of Adults,76.3,No,All,Adults,All,All,All
S08000022,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.8,No,All,Adults,All,All,All
S08000028,2017,Percent,Percent Of Adults,77.5,No,All,Adults,All,All,All
S13002476,2014-2017,Percent,Percent Of Adults,81.4,No,All,All,All,All,All
S08000015,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.7,No,All,Adults,All,All,All
S12000029,2018,Percent,Percent Of Adults,80.1,No,All,All,All,All,All
S08000025,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.8,No,All,Adults,All,All,All
S12000017,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,77,No,All,Adults,All,All,All
S12000026,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.5,No,All,Adults,All,All,All
S12000023,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,88.3,No,All,All,All,All,All
S08000031,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.8,No,All,Adults,All,All,All
S12000035,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,54.5,No,All,Adults,All,All,All
S12000027,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.7,No,All,Adults,All,All,All
S08000032,2016,Percent,Percent Of Adults,77.8,No,All,Adults,All,All,All
S12000034,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,82.7,No,All,Adults,All,All,All
S12000027,2015,Percent,Percent Of Adults,82.6,No,All,All,All,All,All
S13002536,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,89.3,No,All,All,All,All,All
S08000017,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.4,No,All,Adults,All,All,All
S08000025,2013,Percent,Percent Of Adults,74.8,No,All,Adults,All,All,All
S12000027,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.7,No,All,Adults,All,All,All
S14000018,2016-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,92.5,No,All,All,All,All,All
S12000023,2015,Percent,Percent Of Adults,83.1,No,All,All,All,All,All
S12000036,2012,Percent,Percent Of Adults,74.9,No,All,Adults,All,All,All
S16000074,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.1,No,All,All,All,All,All
S08000016,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.3,No,All,Adults,All,All,All
S12000008,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,74.5,No,All,All,All,All,All
S13002583,2014-2017,Percent,Percent Of Adults,91.5,No,All,All,All,All,All
S08000017,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,72.1,No,All,Adults,All,All,All
S12000036,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,80.8,No,All,All,All,All,All
S12000050,2014,Percent,Percent Of Adults,76.6,No,All,All,All,All,All
S13002536,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.8,No,All,All,All,All,All
S12000020,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.4,No,All,All,All,All,All
S08000025,2012,Percent,Percent Of Adults,78.1,No,All,Adults,All,All,All
S13002749,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.2,No,All,All,All,All,All
S13002749,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,82,No,All,All,All,All,All
S12000014,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,79.1,No,All,Adults,All,All,All
S13002529,2014-2017,Percent,Percent Of Adults,80.1,No,All,All,All,All,All
S13002750,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.8,No,All,All,All,All,All
S12000042,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.8,No,All,Adults,All,All,All
S12000028,2015,Percent,Percent Of Adults,81.2,No,All,All,All,All,All
S13002739,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,82,No,All,All,All,All,All
S12000034,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.7,No,All,All,All,All,All
S12000017,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.4,No,All,Adults,All,All,All
S13002746,2014-2017,Percent,Percent Of Adults,82,No,All,All,All,All,All
S13002660,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,80.5,No,All,All,All,All,All
S13002647,2012-2015,Percent,Percent Of Adults,80.7,No,All,All,All,All,All
S13002624,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.3,No,All,All,All,All,All
S08000025,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,87.5,No,All,All,All,All,All
S13002648,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,63.8,No,All,All,All,All,All
S08000024,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.8,No,All,All,All,All,All
S13002639,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.6,No,All,All,All,All,All
S08000031,2016,Percent,Percent Of Adults,79.2,No,All,All,All,All,All
S08000016,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,79,No,All,All,All,All,All
S08000015,2017,Percent,Percent Of Adults,80.9,No,All,All,All,All,All
S13002746,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,77.1,No,All,All,All,All,All
S12000029,2012-2015,Percent,Percent Of Adults,78.1,No,All,All,All,All,All
S13002724,2012-2015,Percent,Percent Of Adults,72.3,No,All,All,All,All,All
S13002724,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.9,No,All,All,All,All,All
S13002651,2012-2015,Percent,Percent Of Adults,81.9,No,All,All,All,All,All
S13002637,2012-2015,Percent,Percent Of Adults,83.4,No,All,All,All,All,All
S13002750,2012-2015,Percent,Percent Of Adults,77.9,No,All,All,All,All,All
S13002696,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,88.9,No,All,All,All,All,All
S12000021,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.8,No,All,All,All,All,All
S12000018,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,70.6,No,All,Adults,All,All,All
S13002627,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,78.6,No,All,All,All,All,All
S12000019,2018,Percent,Percent Of Adults,79.8,No,All,Adults,All,All,All
S08000017,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.2,No,All,All,All,All,All
S08000025,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.1,No,All,All,All,All,All
S08000016,2017,Percent,Percent Of Adults,83.6,No,All,All,All,All,All
S12000038,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,78.5,No,All,All,All,All,All
S08000028,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,79.7,No,All,All,All,All,All
S08000024,2017,Percent,Percent Of Adults,83.1,No,All,All,All,All,All
S12000050,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,78.4,No,All,All,All,All,All
S13002633,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.9,No,All,All,All,All,All
S13002648,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.8,No,All,All,All,All,All
S08000017,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,75,No,All,All,All,All,All
S08000022,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.5,No,All,All,All,All,All
S12000041,2015,Percent,Percent Of Adults,82.3,No,All,All,All,All,All
S12000030,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,89.8,No,All,All,All,All,All
S08000019,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.8,No,All,All,All,All,All
S08000019,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.2,No,All,All,All,All,All
S12000019,2012-2013,Percent,Percent Of Adults,77.8,No,All,All,All,All,All
S08000017,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.9,No,All,All,All,All,All
S08000019,2013,Percent,Percent Of Adults,79,No,All,All,All,All,All
S08000015,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,78.6,No,All,All,All,All,All
S08000015,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.3,No,All,All,All,All,All
S13002746,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,92.2,No,All,All,All,All,All
S13002656,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.8,No,All,All,All,All,All
S08000017,2018,Percent,Percent Of Adults,82.2,No,All,Adults,All,All,All
S08000028,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,80.8,No,All,Adults,All,All,All
S08000030,2018,Percent,Percent Of Adults,73.6,No,All,Adults,All,All,All
S08000020,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.5,No,All,Adults,All,All,All
S12000039,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,71,No,All,All,All,All,All
S08000022,2012,Percent,Percent Of Adults,76.1,No,All,All,All,All,All
S12000050,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.8,No,All,Adults,All,All,All
S08000025,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.5,No,All,All,All,All,All
S13002477,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,79.5,No,All,All,All,All,All
S16000127,2016-2017,Percent,Percent Of Adults,79.2,No,All,All,All,All,All
S13002833,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,82.7,No,All,All,All,All,All
S13002725,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,79,No,All,All,All,All,All
S13002699,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,78.8,No,All,All,All,All,All
S08000022,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.2,No,All,All,All,All,All
S13002807,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,91.1,No,All,All,All,All,All
S12000035,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.9,No,All,All,All,All,All
S13002806,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.3,No,All,All,All,All,All
S13002802,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,92.3,No,All,All,All,All,All
S08000020,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.8,No,All,All,All,All,All
S08000025,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,87.3,No,All,All,All,All,All
S08000017,2012,Percent,Percent Of Adults,76.4,No,All,All,All,All,All
S13002735,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,92.5,No,All,All,All,All,All
S13002737,2012-2015,Percent,Percent Of Adults,72.9,No,All,All,All,All,All
S08000017,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,77.9,No,All,All,All,All,All
S13002747,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,91.7,No,All,All,All,All,All
S13002834,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,60.9,No,All,All,All,All,All
S13002503,2014-2017,Percent,Percent Of Adults,85.3,No,All,All,All,All,All
S12000036,2017,Percent,Percent Of Adults,84.2,No,All,Adults,All,All,All
S12000029,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.8,No,All,Adults,All,All,All
S12000020,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.2,No,All,Adults,All,All,All
S13002685,2012-2015,Percent,Percent Of Adults,69,No,All,All,All,All,All
S12000029,2018,Percent,Percent Of Adults,77.1,No,All,Adults,All,All,All
S12000023,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.5,No,All,Adults,All,All,All
S12000028,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,73.8,No,All,Adults,All,All,All
S12000027,2018,Percent,Percent Of Adults,89.5,No,All,Adults,All,All,All
S13002669,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,61.6,No,All,All,All,All,All
S13002719,2012-2015,Percent,Percent Of Adults,71.7,No,All,All,All,All,All
S12000049,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,75,No,All,Adults,All,All,All
S12000041,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.3,No,All,All,All,All,All
S12000027,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,94.5,No,All,Adults,All,All,All
S12000038,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.2,No,All,Adults,All,All,All
S13002684,2012-2015,Percent,Percent Of Adults,74.1,No,All,All,All,All,All
S13002657,2012-2015,Percent,Percent Of Adults,70.1,No,All,All,All,All,All
S13002594,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.4,No,All,All,All,All,All
S14000014,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.7,No,All,All,All,All,All
S12000019,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,77.2,No,All,All,All,All,All
S13002672,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,87.7,No,All,All,All,All,All
S12000028,2016,Percent,Percent Of Adults,80.7,No,All,Adults,All,All,All
S08000032,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.6,No,All,Adults,All,All,All
S13002589,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.3,No,All,All,All,All,All
S13002660,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,70.1,No,All,All,All,All,All
S12000038,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.9,No,All,Adults,All,All,All
S12000008,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.2,No,All,Adults,All,All,All
S13002684,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,68.2,No,All,All,All,All,All
S13002673,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.4,No,All,All,All,All,All
S13002487,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,78.3,No,All,All,All,All,All
S13002502,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,94.5,No,All,All,All,All,All
S08000019,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.6,No,All,Adults,All,All,All
S13002657,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.5,No,All,All,All,All,All
S12000019,2016-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.4,No,All,All,All,All,All
S12000049,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.1,No,All,All,All,All,All
S13002666,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,88.8,No,All,All,All,All,All
S08000024,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.5,No,All,Adults,All,All,All
S13002715,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,68,No,All,All,All,All,All
S13002490,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.9,No,All,All,All,All,All
S08000017,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,87.6,No,All,Adults,All,All,All
S13002503,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,77.4,No,All,All,All,All,All
S12000027,2016-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.4,No,All,All,All,All,All
S12000019,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,87.2,No,All,Adults,All,All,All
S08000015,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.5,No,All,All,All,All,All
S08000017,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,82.9,No,All,All,All,All,All
S08000024,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,81.4,No,All,All,All,All,All
S08000026,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.4,No,All,Adults,All,All,All
S12000049,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.5,No,All,All,All,All,All
S08000024,2018,Percent,Percent Of Adults,82.2,No,All,Adults,All,All,All
S08000031,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.3,No,All,All,All,All,All
S08000032,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.9,No,All,Adults,All,All,All
S08000024,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,80,No,All,Adults,All,All,All
S12000014,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.8,No,All,All,All,All,All
S12000011,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,78.3,No,All,Adults,All,All,All
S12000005,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,65,No,All,Adults,All,All,All
S13002516,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.6,No,All,All,All,All,All
S12000033,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.8,No,All,Adults,All,All,All
S08000028,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.2,No,All,Adults,All,All,All
S13002685,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.2,No,All,All,All,All,All
S12000050,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,82,No,All,All,All,All,All
S13002686,2012-2015,Percent,Percent Of Adults,72.9,No,All,All,All,All,All
S12000040,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.5,No,All,Adults,All,All,All
S12000041,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.7,No,All,All,All,All,All
S13002820,2012-2015,Percent,Percent Of Adults,89.8,No,All,All,All,All,All
S12000006,2014,Percent,Percent Of Adults,65.5,No,All,Adults,All,All,All
S08000028,2012,Percent,Percent Of Adults,72.3,No,All,Adults,All,All,All
S16000080,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,74.1,No,All,All,All,All,All
S16000081,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.8,No,All,All,All,All,All
S13002492,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,72,No,All,All,All,All,All
S13002664,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,71,No,All,All,All,All,All
S16000078,2012-2013,Percent,Percent Of Adults,81.9,No,All,All,All,All,All
S08000025,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,79.5,No,All,Adults,All,All,All
S12000006,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.6,No,All,All,All,All,All
S13002748,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,77,No,All,All,All,All,All
S12000010,2018,Percent,Percent Of Adults,82,No,All,Adults,All,All,All
S12000010,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.8,No,All,Adults,All,All,All
S13002829,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,91.7,No,All,All,All,All,All
S12000029,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,78.8,No,All,Adults,All,All,All
S12000033,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,80.4,No,All,Adults,All,All,All
